"";"dates";"ndvi"
"1";2000-02-01;0,7546
"2";2000-03-01;0,7279
"3";2000-04-01;0,6843
"4";2000-05-01;0,6551
"5";2000-06-01;0,6472
"6";2000-07-01;0,5951
"7";2000-08-01;0,6087
"8";2000-09-01;0,5862
"9";2000-10-01;0,6117
"10";2000-11-01;0,6328
"11";2000-12-01;0,6685
"12";2001-01-01;0,7716
"13";2001-02-01;0,7496
"14";2001-03-01;0,6991
"15";2001-04-01;0,6772
"16";2001-05-01;0,6371
"17";2001-06-01;0,5544
"18";2001-07-01;0,601
"19";2001-08-01;0,5883
"20";2001-09-01;0,5651
"21";2001-10-01;0,6742
"22";2001-11-01;0,7212
"23";2001-12-01;0,706
"24";2002-01-01;0,7006
"25";2002-02-01;0,6355
"26";2002-03-01;0,6823
"27";2002-04-01;0,7147
"28";2002-05-01;0,6897
"29";2002-06-01;0,5974
"30";2002-07-01;0,5611
"31";2002-08-01;0,5912
"32";2002-09-01;0,6302
"33";2002-10-01;0,652
"34";2002-11-01;0,6574
"35";2002-12-01;0,6376
"36";2003-01-01;0,7172
"37";2003-02-01;0,7035
"38";2003-03-01;0,6698
"39";2003-04-01;0,667
"40";2003-05-01;0,5906
"41";2003-06-01;0,6027
"42";2003-07-01;0,5947
"43";2003-08-01;0,5232
"44";2003-09-01;0,6099
"45";2003-10-01;0,6882
"46";2003-11-01;0,7054
"47";2003-12-01;0,7022
"48";2004-01-01;0,7113
"49";2004-02-01;0,6899
"50";2004-03-01;0,6686
"51";2004-04-01;0,6967
"52";2004-05-01;0,6278
"53";2004-06-01;0,6027
"54";2004-07-01;0,593
"55";2004-08-01;0,6148
"56";2004-09-01;0,621
"57";2004-10-01;0,6743
"58";2004-11-01;0,6867
"59";2004-12-01;0,6907
"60";2005-01-01;0,7099
"61";2005-02-01;0,6686
"62";2005-03-01;0,6336
"63";2005-04-01;0,606
"64";2005-05-01;0,5998
"65";2005-06-01;0,6137
"66";2005-07-01;0,6023
"67";2005-08-01;0,603
"68";2005-09-01;0,6015
"69";2005-10-01;0,6478
"70";2005-11-01;0,6626
"71";2005-12-01;0,7455
"72";2006-01-01;0,7575
"73";2006-02-01;0,724
"74";2006-03-01;0,6958
"75";2006-04-01;0,6588
"76";2006-05-01;0,6158
"77";2006-06-01;0,6661
"78";2006-07-01;0,6416
"79";2006-08-01;0,619
"80";2006-09-01;0,6226
"81";2006-10-01;0,6855
"82";2006-11-01;0,68
"83";2006-12-01;0,7132
"84";2007-01-01;0,7396
"85";2007-02-01;0,7561
"86";2007-03-01;0,7433
"87";2007-04-01;0,7091
"88";2007-05-01;0,6343
"89";2007-06-01;0,5806
"90";2007-07-01;0,5761
"91";2007-08-01;0,5792
"92";2007-09-01;0,5856
"93";2007-10-01;0,6573
"94";2007-11-01;0,6234
"95";2007-12-01;0,6483
"96";2008-01-01;0,7108
"97";2008-02-01;0,7153
"98";2008-03-01;0,6813
"99";2008-04-01;0,6222
