"";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
"1975";20,1;19;16,5;13,8;10,7;8,8;7,3;8,5;10,7;14,4;16,2;20
"1976";21,1;19,3;16,5;13,3;10;8,1;7,9;9,1;11,2;14,2;18,1;20,6
"1977";21,8;20,6;18,6;15,6;12,9;9;7,4;9,5;12,4;14,8;18,2;19,4
"1978";20,9;19,9;17,3;14;12,1;9,1;10,5;8,7;12,1;15,9;17,9;20,1
"1979";20,5;19,5;17,3;13,8;11,9;6,9;9,3;11;10,9;14,9;16,7;19,7
"1980";22;20,8;20;14,4;11,5;9,2;7,9;9,7;11,5;14,2;16,6;19,8
"1981";20,2;20,5;17,9;15;12,5;8,4;8,3;10,7;12,1;13,7;17,1;20,1
"1982";20,6;19,6;18;14,1;10,7;9,6;9,7;10,6;12,6;14,5;16,7;20,6
"1983";21,3;21;17,9;14,9;10,2;6,9;7,2;9,3;10,5;15,7;18,4;20,1
"1984";21,4;19,5;17,8;14,3;8,9;7,6;8,4;8,9;12,7;15,2;15,9;19,4
"1985";20,2;20,3;17,6;13,2;10,9;10,2;8,1;9;12,5;14,5;17,2;19,5
"1986";20,7;20;17,6;13,7;12,1;9,3;9,2;10,4;11,7;16,1;16,6;21,3
"1987";21,3;21;18,9;14,4;10;9,5;8,4;9,5;11,7;15,2;18,8;20,5
"1988";20,3;20,4;18;14,4;9,7;8,1;7,7;9,3;10,8;15,4;18,4;20,2
"1989";21,7;21,4;17,4;14,5;10,2;9;8,1;9,9;11,4;14,6;18,3;20,3
"1990";21,2;19,3;17,2;14,1;10,2;9,3;7,2;10,7;11,9;13,8;17,2;19,6
"1991";20,3;20,3;17,6;14,5;12,7;9,3;8,1;8,4;13;14,2;17,1;18,8
"1992";21,3;19,4;18,5;13,8;10,7;7,8;6,9;9,8;12;15,3;17,2;19,7
"1993";21,7;20,8;19,1;14,6;10;10;7,1;9,9;11,5;14,6;17,4;20
"1994";20,8;19,7;17,9;15,2;11,1;9,8;8,4;9;13,5;14,9;18;20,6
"1995";21,4;19,5;17,8;15;12,6;10,4;7,4;8,6;12,4;15;17,5;20,1
"1996";20,1;20,2;18,3;12,7;10,2;8;9,4;9,8;12;14,9;18,8;20
"1997";21,9;20,7;18,7;16,1;12,2;9,3;9,4;11,1;13;13,7;17,5;19,6
"1998";22;19,6;17,9;14,3;12;9,6;8,2;9,6;11,9;16,7;17,7;21
"1999";20,4;20,6;17,3;14,2;11,6;9,5;7,5;9,8;11,4;14,4;17,6;19,8
"2000";21,1;19,6;17,8;14,1;10,6;9,1;8,1;10,2;11,6;14,9;18,1;21
"2001";21;21,7;18,7;14;10,6;8,3;9,5;10,4;11,1;15,6;17,2;21,4
"2002";21,4;20,4;18,9;13,8;11,6;7,5;8,4;10,4;12,6;14,8;17,3;19,5
"2003";22,1;20,3;18,2;14,3;10,3;11;8;10;13,1;16,8;18,9;19,6
"2004";21,3;19,9;18,9;14,5;9,8;9,1;8,7;9,7;12,8;15,1;17,6;20,7
"2005";21,4;20,5;18,6;14,6;10,3;11,1;8,8;10,9;11,1;14,1;18,3;19,6
"2006";21,8;20,4;17,5;14,7;12,1;10,2;10,1;10,7;13,3;15,3;17,7;20
"2007";21,3;19,4;18,3;13,6;9,4;6,8;7,4;7,1;11,1;15;18,1;19,8
"2008";21,9;21;18,8;14,6;11,2;7,9;8,8;9,8;12,4;15,2;18,6;20,3
"2009";22;20,7;19,4;16,1;12,3;9;8,3;10,4;10,7;15,7;16,8;20,3
"2010";21,8;19,9;18,8;13,7;11,3;8,3;6,1;9,2;12,2;14,5;17,7;18,2
"2011";21,2;20,3;18;14,3;10,7;7,7;7;8,8;13,9;15,2;18,1;20,7
"2012";21,2;21,8;20,1;15;12,4;10;7,9;9,4;12,6;13,9;18,2;19,6
"2013";21,1;21,4;18;14,4;11;9,3;8,3;9,7;11,9;15,3;17,5;20,5
"2014";21,9;19,9;17,9;13,7;12;7,8;9,1;10,5;12;16,6;17,6;19,5
"2015";21,8;20,8;20,1;16,2;12;9,3;9,1;11,5;13;13,8;16,9;20,4
"2016";21,2;21,1;18,7;14,1;12,8;8,8;9,3;11,1;13,7;15,6;19,2;20
"2017";23,7;21,5;18,7;14,9;10,7;8,1;8,3;9,2;12;14,3;18,4;20,8
